time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:37,3.921568628,BTC,IOST,Binance,Okex,0.5,195312.5,0.505071769,195116.1875,0.005071769,1.01435376,0
4/12/2019 13:38,3.921568628,BTC,IOST,Kucoin,Okex,0.086153885,33393.0124,0.088462571,33358.61939,0.002308686,2.679723577,0
4/12/2019 13:41,3.656238221,ETH,IOST,Binance,Okex,0.5799924,7290,0.597110751,7281.71,0.017118351,2.951478472,0
4/12/2019 13:41,3.383458647,ETH,IOST,Kucoin,Okex,2.855655473,35785.1563,2.910983873,35748.37114,0.055328401,1.937502656,0
4/12/2019 13:41,8.264827424,ETH,DASH,Coss,Binance,0.61539095,0.905,0.648145738,0.89319,0.032754788,5.322598205,0
4/12/2019 13:41,8.298357329,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.648335596,0.89319,0.032944646,5.353449803,0
4/12/2019 13:41,7.932469595,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.645579389,0.89319,0.030188439,4.905570886,0
4/12/2019 13:41,8.236885837,ETH,DASH,Coss,Okex,0.61539095,0.905,0.645509908,0.89319,0.030118958,4.894280299,0
4/12/2019 13:41,8.017807615,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.648934972,0.89319,0.033544022,5.450847397,0
4/12/2019 13:41,3.831417625,BTC,IOST,Binance,Okex,0.30246279,116781,0.319191144,116663.219,0.016728354,5.530714733,0
4/12/2019 13:43,3.831417625,BTC,IOST,Kucoin,Okex,0.229460157,88594.655,0.244365243,88505.06035,0.014905086,6.495718637,0
4/12/2019 13:43,0.383141763,BTC,IOST,Kucoin,Bittrex,0.229460157,88594.655,0.231634287,88505.06035,0.002174131,0.947498227,0
4/12/2019 13:45,9.812790552,ETH,IOST,Binance,Okex,3.3200388,41730,3.613412741,41687.27,0.293373941,8.836461217,0
4/12/2019 13:45,9.523809524,ETH,IOST,Kucoin,Okex,2.855655473,35785.1563,2.963035554,35748.37114,0.107380081,3.760260376,0
4/12/2019 13:46,8.451594876,ETH,DASH,Coss,Binance,0.61539095,0.905,0.648970117,0.89319,0.033579167,5.456558494,0
4/12/2019 13:46,8.483065927,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.649493529,0.89319,0.034102579,5.541612028,0
4/12/2019 13:46,8.138354976,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.646025538,0.89319,0.030634588,4.978069255,0
4/12/2019 13:46,8.383946823,ETH,DASH,Coss,Okex,0.61539095,0.905,0.647296604,0.89319,0.031905654,5.184615399,0
4/12/2019 13:46,8.186233621,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.649676212,0.89319,0.034285262,5.571297756,0
4/12/2019 13:46,9.578544061,BTC,IOST,Binance,Okex,0.5,191570.8812,0.514302011,191378.3103,0.014302011,2.860402287,0
4/12/2019 13:46,3.2962821,BTC,STORJ,Binance,Coss,0.0390055,748,0.039413785,743.752,0.000408285,1.046736326,0
4/12/2019 13:47,9.578544061,BTC,IOST,Kucoin,Okex,0.130838791,50129.805,0.138374199,50078.6752,0.007535408,5.75930746,0
4/12/2019 13:47,2.681992337,BTC,IOST,Kucoin,Bittrex,0.130838791,50129.805,0.131846815,50078.6752,0.001008024,0.770431941,0
4/12/2019 13:48,0.816822534,BTC,LTC,Southxchange,Binance,0.198088845,12.66552714,0.198419949,12.62653056,0.000331104,0.167149336,0
4/12/2019 13:48,0.278722833,BTC,LTC,Southxchange,Bitfinex,0.198088845,12.66552714,0.198334747,12.62653056,0.000245903,0.124137704,0
4/12/2019 13:48,0.323564475,BTC,LTC,Southxchange,Okex,0.198088845,12.66552714,0.198468378,12.62653056,0.000379533,0.191597542,0
